Population,Pedigree,Run,Rate,Number,Survival,Biomass
BC-9,BC,1,105,21,Low,0.22
BC-9,BC,1,105,22,Low,0.32
BC-9,BC,1,105,23,Low,0.1
BC-9,BC,1,105,24,Low,0.2
BC-9,BC,1,105,25,Low,0.28
BC-9,BC,1,105,26,Low,0.15
BC-9,BC,1,105,27,Low,0.12
BC-9,BC,1,105,28,Low,0.16
BC-9,BC,1,105,29,Low,0.2
BC-9,BC,1,105,30,Low,0.11
BC-9,BC,1,105,31,Low,0.33
BC-9,BC,1,105,32,Low,0.11
BC-9,BC,1,105,33,Low,0.17
BC-9,BC,1,105,34,Low,0.15
BC-9,BC,1,105,35,Low,0.14
BC-9,BC,1,105,36,Low,0.27
BC-9,BC,1,105,37,Low,0.12
BC-9,BC,1,105,38,Low,0.18
BC-9,BC,1,105,39,Low,0.14
BC-9,BC,1,105,40,Low,0.23
BC-9,BC,1,105,41,Low,0.29
BC-9,BC,1,105,42,Low,0.15
BC-9,BC,1,105,43,Low,0.17
BC-9,BC,1,105,44,Low,0.04
BC-9,BC,1,105,45,Low,0.16
BC-9,BC,1,105,46,Low,0.15
BC-9,BC,1,105,47,Low,0.15
BC-9,BC,1,105,48,Low,0.13
BC-9,BC,1,105,49,Low,0.15
BC-9,BC,1,105,50,Low,0.13
BC-9,BC,1,105,51,Low,0.21
BC-9,BC,1,105,52,Low,0.16
BC-9,BC,1,105,53,Low,0.13
BC-9,BC,1,105,54,Low,0.22
BC-9,BC,1,105,55,Low,0.13
BC-9,BC,1,105,56,Low,0.16
BC-9,BC,1,105,57,Low,0.21
BC-9,BC,1,105,58,Low,0.2
BC-9,BC,1,105,59,Low,0.34
BC-9,BC,1,105,60,Low,0.09
BC-9,BC,1,105,61,Low,0.15
BC-9,BC,1,105,62,Died,0.08
BC-9,BC,1,105,63,Low,0.17
BC-9,BC,1,105,64,Low,0.22
BC-9,BC,1,105,65,Low,0.24
BC-9,BC,1,105,66,Low,0.18
BC-9,BC,1,105,67,Low,0.2
BC-9,BC,1,105,68,Low,0.11
BC-9,BC,1,105,69,Low,0.06
BC-9,BC,1,105,70,Low,0.03
BC-9,BC,1,105,71,Low,0.18
BC-9,BC,1,105,72,Low,0.14
BC-9,BC,1,105,73,Low,0.07
BC-9,BC,1,105,74,Died,0.04
BC-9,BC,1,105,75,Low,0.04
BC-9,BC,1,105,76,Low,0.16
BC-9,BC,1,105,77,Low,0.01
BC-9,BC,1,105,78,Low,0.19
BC-9,BC,1,105,79,Low,0.14
BC-9,BC,1,105,80,High,0.05
BC-9,BC,1,105,81,High,0.1
BC-9,BC,1,105,82,Low,0.14
BC-9,BC,1,105,83,Low,0.12
BC-9,BC,1,105,84,Died,0
BC-9,BC,1,105,85,Low,0.14
BC-9,BC,1,105,86,Low,0.12
BC-9,BC,1,105,87,Low,0.15
BC-9,BC,1,105,88,Low,0.13
BC-9,BC,1,105,89,Low,0.14
BC-9,BC,1,105,90,Low,0.1
BC-9,BC,1,105,91,Died,0.08
BC-9,BC,1,105,92,Low,0.18
BC-9,BC,1,105,93,Died,0
BC-9,BC,1,105,94,Low,0.14
BC-9,BC,1,105,95,Low,0.08
BC-9,BC,1,105,96,Low,0.16
BC-8,BC,2,105,1,High,0.08
BC-8,BC,2,105,2,High,0.06
BC-8,BC,2,105,3,High,0.07
BC-8,BC,2,105,4,Died,0.05
